Frame,Total,Car,Bike,Bus,Truck
1,19,16,0,1,2
2,18,16,0,1,1
3,18,16,0,1,1
4,18,16,0,1,1
5,18,16,0,1,1
6,18,17,0,0,1
7,18,16,0,1,1
8,18,15,0,1,2
9,18,14,0,1,3
10,18,16,0,1,1
11,18,16,0,1,1
12,19,17,0,1,1
13,19,16,0,1,2
14,19,16,0,1,2
15,19,16,0,1,2
16,18,15,0,1,2
17,18,15,0,1,2
18,19,16,0,1,2
19,18,15,0,1,2
20,18,16,0,1,1
21,18,15,0,1,2
22,17,14,0,1,2
23,16,13,0,1,2
24,16,13,0,1,2
25,14,12,0,1,1
26,15,13,0,2,0
27,15,13,0,1,1
28,15,12,0,2,1
29,15,13,0,1,1
30,15,13,0,1,1
31,15,14,0,0,1
32,15,14,0,0,1
33,14,13,0,1,0
34,13,11,0,1,1
35,14,12,0,1,1
36,15,12,0,1,2
37,15,13,0,1,1
38,14,12,0,1,1
39,15,13,0,1,1
40,15,13,0,0,2
41,14,13,0,0,1
42,14,13,0,1,0
43,14,13,0,0,1
44,14,13,0,0,1
45,14,13,0,0,1
46,14,13,0,0,1
47,15,14,0,0,1
48,15,14,0,0,1
49,16,15,0,0,1
50,16,15,0,1,0
51,15,14,0,1,0
52,16,15,0,0,1
53,16,14,0,1,1
54,16,14,0,1,1
55,15,14,0,1,0
56,15,14,0,1,0
57,15,14,0,1,0
58,15,14,0,1,0
59,15,14,0,1,0
60,15,13,0,1,1
61,16,14,0,1,1
62,15,14,0,0,1
63,14,12,0,0,2
64,15,13,0,0,2
65,15,14,0,0,1
66,15,14,0,0,1
67,15,13,0,0,2
68,15,15,0,0,0
69,16,15,0,0,1
70,16,15,0,0,1
71,13,13,0,0,0
72,14,14,0,0,0
73,14,14,0,0,0
74,14,13,1,0,0
75,13,13,0,0,0
76,12,12,0,0,0
77,13,12,0,0,1
78,14,13,0,0,1
79,13,11,0,0,2
80,14,13,0,0,1
81,13,12,0,0,1
82,13,12,0,0,1
83,14,13,0,0,1
84,14,13,0,0,1
85,12,12,0,0,0
86,13,12,0,0,1
87,14,12,0,1,1
88,13,12,0,0,1
89,14,13,0,0,1
90,12,12,0,0,0
91,12,12,0,0,0
92,12,12,0,0,0
93,13,13,0,0,0
94,13,13,0,0,0
95,12,12,0,0,0
96,12,12,0,0,0
97,12,12,0,0,0
98,12,12,0,0,0
99,11,11,0,0,0
100,10,10,0,0,0
101,9,9,0,0,0
102,9,9,0,0,0
103,11,11,0,0,0
104,11,11,0,0,0
105,12,11,0,0,1
106,11,10,0,0,1
107,10,10,0,0,0
108,11,10,0,0,1
109,10,10,0,0,0
110,10,10,0,0,0
111,10,10,0,0,0
112,10,10,0,0,0
113,10,10,0,0,0
114,11,11,0,0,0
115,12,12,0,0,0
116,13,13,0,0,0
117,13,13,0,0,0
118,13,13,0,0,0
119,13,13,0,0,0
120,12,12,0,0,0
121,9,9,0,0,0
122,9,9,0,0,0
123,9,9,0,0,0
124,9,9,0,0,0
125,9,9,0,0,0
126,9,9,0,0,0
127,9,9,0,0,0
128,9,9,0,0,0
129,9,9,0,0,0
130,10,10,0,0,0
131,10,10,0,0,0
132,10,10,0,0,0
133,10,10,0,0,0
134,10,10,0,0,0
135,10,10,0,0,0
136,10,10,0,0,0
137,9,9,0,0,0
138,10,10,0,0,0
139,11,11,0,0,0
140,9,9,0,0,0
141,9,9,0,0,0
142,10,10,0,0,0
143,10,10,0,0,0
144,11,10,0,1,0
145,11,10,0,1,0
146,10,9,0,1,0
147,10,9,0,1,0
148,12,12,0,0,0
149,12,12,0,0,0
150,11,11,0,0,0
151,11,11,0,0,0
152,10,10,0,0,0
153,11,10,0,1,0
154,11,10,0,1,0
155,10,9,0,1,0
156,11,10,0,0,1
157,11,10,0,1,0
158,11,11,0,0,0
159,12,12,0,0,0
160,12,12,0,0,0
161,10,10,0,0,0
162,11,11,0,0,0
163,11,11,0,0,0
164,11,11,0,0,0
165,10,10,0,0,0
166,10,10,0,0,0
167,10,10,0,0,0
168,11,11,0,0,0
169,11,11,0,0,0
170,13,13,0,0,0
171,11,11,0,0,0
172,11,11,0,0,0
173,12,12,0,0,0
174,12,12,0,0,0
175,11,11,0,0,0
176,12,12,0,0,0
177,13,13,0,0,0
178,13,13,0,0,0
179,13,13,0,0,0
180,13,13,0,0,0
181,14,14,0,0,0
182,14,14,0,0,0
183,14,14,0,0,0
184,15,15,0,0,0
185,12,12,0,0,0
186,14,14,0,0,0
187,14,14,0,0,0
188,14,14,0,0,0
189,14,14,0,0,0
190,16,16,0,0,0
191,16,16,0,0,0
192,16,16,0,0,0
193,16,16,0,0,0
194,16,16,0,0,0
195,16,15,0,0,1
196,17,16,0,0,1
197,16,16,0,0,0
198,16,16,0,0,0
199,15,15,0,0,0
200,16,16,0,0,0
201,13,13,0,0,0
202,13,13,0,0,0
203,13,13,0,0,0
204,12,12,0,0,0
205,12,12,0,0,0
206,12,12,0,0,0
207,12,12,0,0,0
208,11,11,0,0,0
209,11,11,0,0,0
210,12,12,0,0,0
211,13,13,0,0,0
212,13,13,0,0,0
213,13,13,0,0,0
214,13,13,0,0,0
215,13,13,0,0,0
216,13,13,0,0,0
217,13,13,0,0,0
218,13,13,0,0,0
219,14,14,0,0,0
220,15,15,0,0,0
221,14,14,0,0,0
222,15,15,0,0,0
223,16,16,0,0,0
224,15,15,0,0,0
225,13,13,0,0,0
226,14,14,0,0,0
227,15,15,0,0,0
228,16,16,0,0,0
229,14,14,0,0,0
230,14,14,0,0,0
231,14,14,0,0,0
232,14,14,0,0,0
233,14,14,0,0,0
234,14,14,0,0,0
235,14,14,0,0,0
236,15,15,0,0,0
237,14,14,0,0,0
238,15,15,0,0,0
239,14,14,0,0,0
240,15,15,0,0,0
241,14,14,0,0,0
242,15,15,0,0,0
243,15,15,0,0,0
244,15,15,0,0,0
245,15,15,0,0,0
246,15,15,0,0,0
247,15,15,0,0,0
248,15,15,0,0,0
249,15,15,0,0,0
250,15,15,0,0,0
251,15,15,0,0,0
252,15,15,0,0,0
253,15,15,0,0,0
254,16,16,0,0,0
255,16,16,0,0,0
256,14,14,0,0,0
257,15,15,0,0,0
258,14,14,0,0,0
259,14,13,0,0,1
260,12,12,0,0,0
261,12,12,0,0,0
262,12,12,0,0,0
263,12,12,0,0,0
264,12,12,0,0,0
265,12,12,0,0,0
266,12,12,0,0,0
267,12,12,0,0,0
268,12,12,0,0,0
269,12,12,0,0,0
270,12,12,0,0,0
271,13,13,0,0,0
272,12,12,0,0,0
273,12,12,0,0,0
274,13,13,0,0,0
275,13,13,0,0,0
276,14,14,0,0,0
277,15,15,0,0,0
278,14,14,0,0,0
279,14,14,0,0,0
280,13,13,0,0,0
281,12,12,0,0,0
282,11,11,0,0,0
283,15,14,0,0,1
284,15,15,0,0,0
285,15,15,0,0,0
286,15,15,0,0,0
287,15,15,0,0,0
288,16,15,0,0,1
289,16,15,0,0,1
290,15,14,0,0,1
291,15,15,0,0,0
292,15,15,0,0,0
293,15,15,0,0,0
294,14,13,0,0,1
295,16,15,0,0,1
296,17,16,0,0,1
297,19,18,0,0,1
298,18,17,0,0,1
299,18,17,0,0,1
300,17,16,0,0,1
