Frame,Total,Car,Bike,Bus,Truck
265,13,10,1,1,1
266,14,11,1,1,1
267,13,10,1,1,1
268,15,11,2,1,1
269,14,11,1,1,1
270,13,10,1,1,1
271,15,12,1,1,1
272,15,12,1,1,1
273,16,12,1,2,1
274,16,11,1,3,1
275,15,11,1,2,1
276,16,12,1,2,1
277,17,13,1,2,1
278,16,12,1,2,1
279,16,13,1,1,1
280,15,12,1,1,1
281,17,12,2,2,1
282,17,11,2,3,1
283,16,12,2,1,1
284,17,13,2,1,1
285,16,11,2,2,1
286,17,13,2,1,1
287,15,10,2,2,1
288,15,10,2,2,1
289,17,11,2,3,1
290,16,11,2,2,1
291,15,11,1,2,1
292,15,11,2,1,1
293,15,10,2,1,2
294,18,12,3,1,2
295,19,13,3,1,2
296,18,11,3,2,2
297,20,12,3,3,2
298,19,12,3,2,2
299,15,11,2,1,1
300,15,11,2,1,1
