Frame,Total,Car,Bike,Bus,Truck
1,3,2,0,0,1
2,3,2,0,0,1
3,2,0,0,1,1
4,2,1,0,1,0
5,2,1,0,0,1
6,3,1,0,0,2
7,1,1,0,0,0
8,1,1,0,0,0
9,1,1,0,0,0
10,1,0,0,0,1
11,1,1,0,0,0
12,1,1,0,0,0
13,1,1,0,0,0
14,1,1,0,0,0
15,1,1,0,0,0
16,1,0,0,0,1
17,1,1,0,0,0
18,1,1,0,0,0
19,1,1,0,0,0
20,1,1,0,0,0
21,1,1,0,0,0
22,1,1,0,0,0
23,1,1,0,0,0
24,1,1,0,0,0
25,1,1,0,0,0
26,1,1,0,0,0
27,1,1,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,1,1,0,0,0
31,1,1,0,0,0
32,1,1,0,0,0
33,1,1,0,0,0
34,1,1,0,0,0
35,1,1,0,0,0
36,1,1,0,0,0
37,1,1,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,1,1,0,0,0
103,1,1,0,0,0
104,1,1,0,0,0
105,2,2,0,0,0
106,2,2,0,0,0
107,2,2,0,0,0
108,3,3,0,0,0
109,3,3,0,0,0
110,3,3,0,0,0
111,3,3,0,0,0
112,3,3,0,0,0
113,3,3,0,0,0
114,2,2,0,0,0
115,2,2,0,0,0
116,2,2,0,0,0
117,3,3,0,0,0
118,4,4,0,0,0
119,4,4,0,0,0
120,3,3,0,0,0
121,3,3,0,0,0
122,3,3,0,0,0
123,4,4,0,0,0
124,4,4,0,0,0
125,4,4,0,0,0
126,4,4,0,0,0
127,4,4,0,0,0
128,4,4,0,0,0
129,4,4,0,0,0
130,4,4,0,0,0
131,3,3,0,0,0
132,3,3,0,0,0
133,3,3,0,0,0
134,3,3,0,0,0
135,3,3,0,0,0
136,3,3,0,0,0
137,3,3,0,0,0
138,4,4,0,0,0
139,4,4,0,0,0
140,4,4,0,0,0
141,4,4,0,0,0
142,5,5,0,0,0
143,5,5,0,0,0
144,5,5,0,0,0
145,5,5,0,0,0
146,5,5,0,0,0
147,5,5,0,0,0
148,5,5,0,0,0
149,5,5,0,0,0
150,5,5,0,0,0
151,5,5,0,0,0
152,5,5,0,0,0
153,5,5,0,0,0
154,5,5,0,0,0
155,5,5,0,0,0
156,5,5,0,0,0
157,5,5,0,0,0
158,5,5,0,0,0
159,5,5,0,0,0
160,5,5,0,0,0
161,4,4,0,0,0
162,5,5,0,0,0
163,5,5,0,0,0
164,5,5,0,0,0
165,6,6,0,0,0
166,5,5,0,0,0
167,5,5,0,0,0
168,5,5,0,0,0
169,5,5,0,0,0
170,4,4,0,0,0
171,5,5,0,0,0
172,5,5,0,0,0
173,6,6,0,0,0
174,6,6,0,0,0
175,7,7,0,0,0
176,5,5,0,0,0
177,5,5,0,0,0
178,6,6,0,0,0
179,7,7,0,0,0
180,5,5,0,0,0
181,6,6,0,0,0
182,7,7,0,0,0
183,7,7,0,0,0
184,7,7,0,0,0
185,7,7,0,0,0
186,7,7,0,0,0
187,7,7,0,0,0
188,7,7,0,0,0
189,8,8,0,0,0
190,7,7,0,0,0
191,7,7,0,0,0
192,7,7,0,0,0
193,8,8,0,0,0
194,8,8,0,0,0
195,8,8,0,0,0
196,8,8,0,0,0
197,8,8,0,0,0
198,8,8,0,0,0
199,8,8,0,0,0
200,8,8,0,0,0
201,8,8,0,0,0
202,8,8,0,0,0
203,8,8,0,0,0
204,8,8,0,0,0
205,7,7,0,0,0
206,7,7,0,0,0
207,8,8,0,0,0
208,8,7,0,0,1
209,9,8,0,0,1
210,8,7,0,0,1
211,8,7,0,0,1
212,7,7,0,0,0
213,7,7,0,0,0
214,9,8,0,0,1
215,9,8,0,0,1
216,9,8,0,0,1
217,9,9,0,0,0
218,9,9,0,0,0
219,9,9,0,0,0
220,9,9,0,0,0
221,9,9,0,0,0
222,9,9,0,0,0
223,8,8,0,0,0
224,8,8,0,0,0
225,9,9,0,0,0
226,9,9,0,0,0
227,8,8,0,0,0
228,9,9,0,0,0
229,9,9,0,0,0
230,9,9,0,0,0
231,9,9,0,0,0
232,9,9,0,0,0
233,9,9,0,0,0
234,9,9,0,0,0
235,9,9,0,0,0
236,8,8,0,0,0
237,8,8,0,0,0
238,9,8,0,0,1
239,7,6,0,0,1
240,9,7,0,1,1
241,9,9,0,0,0
242,9,9,0,0,0
243,7,6,0,0,1
244,7,7,0,0,0
245,8,7,0,0,1
246,8,7,0,0,1
247,7,7,0,0,0
248,7,7,0,0,0
249,7,7,0,0,0
250,7,7,0,0,0
251,8,7,0,0,1
252,7,6,0,0,1
253,7,6,0,0,1
254,7,6,0,0,1
255,7,6,0,0,1
256,8,7,0,0,1
257,8,7,0,0,1
258,9,8,0,0,1
259,9,8,0,0,1
260,9,8,0,0,1
261,9,8,0,0,1
262,9,8,0,0,1
263,9,8,0,0,1
264,8,7,0,0,1
265,9,8,0,0,1
266,9,8,0,0,1
267,9,8,0,0,1
268,7,7,0,0,0
269,8,8,0,0,0
270,8,8,0,0,0
271,9,9,0,0,0
272,9,9,0,0,0
273,8,8,0,0,0
274,8,8,0,0,0
275,8,8,0,0,0
276,8,8,0,0,0
277,8,8,0,0,0
278,7,7,0,0,0
279,9,9,0,0,0
280,9,9,0,0,0
281,9,9,0,0,0
282,7,7,0,0,0
283,9,9,0,0,0
284,8,8,0,0,0
285,8,8,0,0,0
286,9,9,0,0,0
287,9,9,0,0,0
288,9,9,0,0,0
289,9,9,0,0,0
290,8,8,0,0,0
291,7,7,0,0,0
292,7,7,0,0,0
293,6,6,0,0,0
294,6,6,0,0,0
295,7,7,0,0,0
296,6,6,0,0,0
297,7,7,0,0,0
298,7,7,0,0,0
299,7,7,0,0,0
300,7,7,0,0,0
