Frame,Total,Car,Bike,Bus,Truck
137,4,4,0,0,0
138,4,4,0,0,0
139,3,3,0,0,0
140,3,3,0,0,0
141,3,3,0,0,0
142,3,3,0,0,0
143,4,3,0,0,1
144,4,4,0,0,0
145,4,3,0,0,1
146,3,3,0,0,0
147,4,3,0,0,1
148,5,4,0,0,1
149,5,4,0,0,1
150,5,4,0,0,1
151,4,4,0,0,0
152,5,4,0,0,1
153,5,4,0,0,1
154,5,4,0,0,1
155,5,4,0,0,1
156,5,4,0,0,1
157,5,4,0,0,1
158,4,2,0,0,2
159,5,4,0,0,1
160,4,3,0,0,1
161,4,3,0,0,1
162,4,3,0,0,1
163,4,3,0,0,1
164,4,3,0,0,1
165,4,3,0,0,1
166,4,3,0,0,1
167,5,4,0,0,1
168,5,4,0,0,1
169,4,3,0,0,1
170,4,3,0,0,1
171,5,4,0,0,1
172,5,4,0,0,1
173,5,4,0,0,1
174,5,4,0,0,1
175,5,4,0,0,1
176,4,3,0,0,1
177,4,3,0,0,1
178,4,3,0,0,1
179,4,3,0,0,1
180,4,3,0,0,1
181,4,3,0,0,1
182,5,4,0,0,1
183,5,4,0,0,1
184,5,4,0,0,1
185,5,4,0,0,1
186,5,4,0,0,1
187,5,4,0,0,1
188,5,4,0,0,1
189,5,4,0,0,1
190,5,4,0,0,1
191,5,4,0,0,1
192,5,4,0,0,1
193,4,3,0,0,1
194,5,4,0,0,1
195,5,4,0,0,1
196,5,4,0,0,1
197,6,5,0,0,1
198,6,5,0,0,1
199,6,5,0,0,1
200,6,5,0,0,1
201,6,5,0,0,1
202,6,5,0,0,1
203,6,5,0,0,1
204,6,5,0,0,1
205,7,6,0,0,1
206,6,5,0,0,1
207,6,5,0,0,1
208,6,5,0,0,1
209,4,4,0,0,0
210,5,5,0,0,0
211,5,5,0,0,0
212,5,5,0,0,0
213,5,5,0,0,0
214,5,5,0,0,0
215,5,5,0,0,0
216,5,5,0,0,0
217,6,5,0,0,1
218,5,5,0,0,0
219,5,5,0,0,0
220,5,5,0,0,0
221,5,4,0,0,1
222,6,4,0,1,1
223,6,4,0,1,1
224,6,4,0,1,1
225,7,5,0,1,1
226,7,5,0,1,1
227,7,5,0,1,1
228,7,5,0,1,1
229,6,5,0,0,1
230,6,4,0,1,1
231,5,4,0,1,0
232,5,5,0,0,0
233,5,5,0,0,0
234,5,4,0,0,1
235,6,5,0,0,1
236,6,5,0,0,1
237,5,4,0,0,1
238,6,5,0,0,1
239,6,5,0,0,1
240,6,5,0,0,1
241,6,4,0,0,2
242,7,6,0,0,1
243,8,7,0,0,1
244,8,6,0,0,2
245,5,5,0,0,0
246,6,4,0,1,1
247,5,4,0,0,1
248,6,5,0,0,1
249,6,5,0,1,0
250,7,5,0,1,1
251,7,7,0,0,0
252,7,6,0,0,1
253,8,6,0,1,1
254,8,6,0,1,1
255,8,7,0,1,0
256,8,7,0,0,1
257,7,6,0,0,1
258,6,5,0,0,1
259,6,5,0,1,0
260,6,4,0,1,1
261,6,4,0,1,1
262,5,4,0,0,1
263,6,5,0,0,1
264,6,5,0,0,1
265,6,5,0,0,1
266,6,5,0,0,1
267,6,5,0,0,1
268,7,6,0,0,1
269,7,6,0,0,1
270,7,6,0,0,1
271,6,5,0,0,1
272,7,6,0,0,1
273,8,6,0,1,1
274,8,5,0,2,1
275,7,5,0,1,1
276,6,5,0,0,1
277,6,4,0,1,1
278,8,6,0,1,1
279,7,6,0,1,0
280,7,5,0,1,1
281,8,6,0,1,1
282,8,6,0,1,1
283,8,6,0,1,1
284,6,4,0,1,1
285,8,6,0,1,1
286,7,5,0,1,1
287,8,6,0,1,1
288,8,7,0,0,1
289,7,6,0,0,1
290,7,6,0,0,1
291,8,6,0,1,1
292,8,6,0,1,1
293,8,6,0,1,1
294,6,6,0,0,0
295,7,6,0,0,1
296,7,5,0,1,1
297,7,6,0,0,1
298,7,6,0,0,1
299,7,6,0,1,0
300,7,6,0,0,1
