Frame,Total,Car,Bike,Bus,Truck
1,10,10,0,0,0
2,10,10,0,0,0
3,10,10,0,0,0
4,10,10,0,0,0
5,10,10,0,0,0
6,11,10,0,1,0
7,10,10,0,0,0
8,10,10,0,0,0
9,10,10,0,0,0
10,9,9,0,0,0
11,9,9,0,0,0
12,9,8,0,1,0
13,9,9,0,0,0
14,8,8,0,0,0
15,8,8,0,0,0
16,8,7,0,1,0
17,8,8,0,0,0
18,9,8,0,1,0
19,10,9,0,1,0
20,10,10,0,0,0
21,10,9,0,1,0
22,10,8,0,2,0
23,9,8,0,1,0
24,10,8,0,2,0
25,10,10,0,0,0
26,10,9,0,1,0
27,9,9,0,0,0
28,9,9,0,0,0
29,10,10,0,0,0
30,10,10,0,0,0
31,10,9,0,0,1
32,9,9,0,0,0
33,9,8,0,1,0
34,9,9,0,0,0
35,9,9,0,0,0
36,9,9,0,0,0
37,10,9,0,0,1
38,10,10,0,0,0
39,10,9,0,1,0
40,10,10,0,0,0
41,10,10,0,0,0
42,10,10,0,0,0
43,9,9,0,0,0
44,10,10,0,0,0
45,10,9,0,0,1
46,9,9,0,0,0
47,9,9,0,0,0
48,9,9,0,0,0
49,9,9,0,0,0
50,9,9,0,0,0
51,9,9,0,0,0
52,8,8,0,0,0
53,10,10,0,0,0
54,9,9,0,0,0
55,8,8,0,0,0
56,9,9,0,0,0
57,9,9,0,0,0
58,9,9,0,0,0
59,9,9,0,0,0
60,10,10,0,0,0
61,7,7,0,0,0
62,8,8,0,0,0
63,8,8,0,0,0
64,7,7,0,0,0
65,7,7,0,0,0
66,8,8,0,0,0
67,7,7,0,0,0
68,7,7,0,0,0
69,7,7,0,0,0
70,7,7,0,0,0
71,7,7,0,0,0
72,7,7,0,0,0
73,6,6,0,0,0
74,6,6,0,0,0
75,7,7,0,0,0
76,6,5,0,0,1
77,6,5,0,0,1
78,7,6,0,1,0
79,7,7,0,0,0
80,8,8,0,0,0
81,7,6,0,1,0
82,7,7,0,0,0
83,8,6,0,2,0
84,7,7,0,0,0
85,7,7,0,0,0
86,7,7,0,0,0
87,7,7,0,0,0
88,7,7,0,0,0
89,7,7,0,0,0
90,7,7,0,0,0
91,6,6,0,0,0
92,6,6,0,0,0
93,7,7,0,0,0
94,7,7,0,0,0
95,7,7,0,0,0
96,7,7,0,0,0
97,6,6,0,0,0
98,6,6,0,0,0
99,6,6,0,0,0
100,5,5,0,0,0
101,5,5,0,0,0
102,5,5,0,0,0
103,5,5,0,0,0
104,5,5,0,0,0
105,6,6,0,0,0
106,5,5,0,0,0
107,5,5,0,0,0
108,6,6,0,0,0
109,4,4,0,0,0
110,4,4,0,0,0
111,4,4,0,0,0
112,4,4,0,0,0
113,4,4,0,0,0
114,4,4,0,0,0
115,4,4,0,0,0
116,4,4,0,0,0
117,4,4,0,0,0
118,4,4,0,0,0
119,4,4,0,0,0
120,4,4,0,0,0
121,4,4,0,0,0
122,3,3,0,0,0
123,3,3,0,0,0
124,3,3,0,0,0
125,4,4,0,0,0
126,4,4,0,0,0
127,5,5,0,0,0
128,5,5,0,0,0
129,5,5,0,0,0
130,5,5,0,0,0
131,4,4,0,0,0
132,4,3,0,1,0
133,4,3,0,1,0
134,4,4,0,0,0
135,4,3,0,0,1
136,4,3,0,0,1
